trade_date,spvxtstr,spvxtstr_return,spvxtstr_index
2018-09-13,204558.6000000000,-0.0023006356,2.0275991678
2018-09-14,204777.6000000000,0.0010705979,2.0297699111
2018-09-17,203579.5000000000,-0.0058507376,2.0178942600
2018-09-18,205838.6000000000,0.0110968934,2.0402866174
2018-09-19,207594.5000000000,0.0085304700,2.0576912212
2018-09-20,207906.3000000000,0.0015019666,2.0607818046
2018-09-21,209096.4000000000,0.0057242133,2.0725781592
2018-09-24,207579.4000000000,-0.0072550269,2.0575415489
2018-09-25,208049.5000000000,0.0022646756,2.0622012130
2018-09-26,208144.8000000000,0.0004580641,2.0631458333
2018-09-27,208535.3000000000,0.0018760978,2.0670164967
2018-09-28,208226.7000000000,-0.0014798454,2.0639576318
2018-10-01,208642.0000000000,0.0019944608,2.0680741145
2018-10-02,209589.5000000000,0.0045412717,2.0774658009
2018-10-03,209811.5000000000,0.0010592134,2.0796662804
2018-10-04,207036.0000000000,-0.0132285409,2.0521553301
2018-10-05,206960.0000000000,-0.0003670859,2.0514020127
2018-10-08,207010.2000000000,0.0002425589,2.0518995987
2018-10-09,205983.2000000000,-0.0049611082,2.0417199027
2018-10-10,204342.8000000000,-0.0079637563,2.0254601431
2018-10-11,204454.3000000000,0.0005456517,2.0265653389
2018-10-12,203746.8000000000,-0.0034604310,2.0195525493
2018-10-15,207340.5000000000,0.0176380684,2.0551735554
2018-10-16,207997.2000000000,0.0031672539,2.0616828118
2018-10-17,208428.7000000000,0.0020745472,2.0659598700
2018-10-18,205642.9000000000,-0.0133657217,2.0383468253
2018-10-19,206533.7000000000,0.0043317810,2.0471764973
2018-10-22,206256.0000000000,-0.0013445748,2.0444239154
2018-10-23,205717.7000000000,-0.0026098635,2.0390882482
2018-10-24,205234.6000000000,-0.0023483638,2.0342997271
2018-10-25,206167.8000000000,0.0045469916,2.0435496709
2018-10-26,206830.1000000000,0.0032124318,2.0501144348
2018-10-29,208598.1000000000,0.0085480788,2.0676389747
2018-10-30,209644.1000000000,0.0050144273,2.0780069999
2018-10-31,209962.8000000000,0.0015201954,2.0811659766
2018-11-01,209690.8000000000,-0.0012954676,2.0784698936
2018-11-02,209036.9000000000,-0.0031184010,2.0719883910
2018-11-05,207674.6000000000,-0.0065170312,2.0584851780
2018-11-06,206411.4000000000,-0.0060825927,2.0459642511
2018-11-07,207147.6000000000,0.0035666635,2.0532615171
2018-11-08,206955.0000000000,-0.0009297718,2.0513524524
2018-11-09,207508.3000000000,0.0026735281,2.0568368007
2018-11-12,206507.3000000000,-0.0048239034,2.0469148186
2018-11-13,207625.8000000000,0.0054162734,2.0580014690
2018-11-14,208842.9000000000,0.0058619883,2.0700654494
2018-11-15,209880.7000000000,0.0049692855,2.0803521957
2018-11-16,209105.7000000000,-0.0036925739,2.0726703414
2018-11-19,209815.9000000000,0.0033963684,2.0797098935
2018-11-20,211786.0000000000,0.0093896602,2.0992376627
2018-11-21,212739.0000000000,0.0044998253,2.1086838654
2018-11-23,212052.2000000000,-0.0032283690,2.1018762557
2018-11-26,212027.0000000000,-0.0001188387,2.1016264716
2018-11-27,211167.3000000000,-0.0040546723,2.0931050650
2018-11-28,209932.8000000000,-0.0058460756,2.0808686145
2018-11-29,210378.1000000000,0.0021211550,2.0852824593
2018-11-30,210071.1000000000,-0.0014592774,2.0822394538
2018-12-03,208594.1000000000,-0.0070309529,2.0675993264
2018-12-04,206719.0000000000,-0.0089892284,2.0490132039
2018-12-06,205655.2000000000,-0.0051461162,2.0384687438
2018-12-07,205863.5000000000,0.0010128604,2.0405334280
2018-12-10,205791.0000000000,-0.0003521751,2.0398148029
2018-12-11,207035.2000000000,0.0060459398,2.0521474004
2018-12-12,207800.3000000000,0.0036955069,2.0597311252
2018-12-13,209261.0000000000,0.0070293450,2.0742096859
2018-12-14,208193.0000000000,-0.0051036744,2.0636235951
2018-12-17,208502.4000000000,0.0014861211,2.0666903896
2018-12-18,209589.0000000000,0.0052114508,2.0774608448
2018-12-19,209958.0000000000,0.0017605886,2.0811183987
2018-12-20,208312.6000000000,-0.0078368055,2.0648090787
2018-12-21,204082.8000000000,-0.0203050608,2.0228830049
2018-12-24,198509.6000000000,-0.0273085238,1.9676410562
2018-12-26,198399.6000000000,-0.0005541294,1.9665507285
2018-12-27,199311.6000000000,0.0045967835,1.9755905364
